Drug A,Drug B,Severity,Mechansim,Reference
Amoxicillin,Metoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amoxicillin,Antacid (Omeprazole),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Amoxicillin,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amoxicillin,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amoxicillin,Clonazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amoxicillin,Alendronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Amoxicillin,Ketoconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amoxicillin,Vitamin B12,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Amoxicillin,Insulin Aspart,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Metronidazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Methotrexate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Amiodarone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ampicillin,Doxycycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Oxycodone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ampicillin,Rosuvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ampicillin,Nivolumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ampicillin,Omega-3 (Fish Oil),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ampicillin,Tiotropium,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ampicillin,Heparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ampicillin,Naproxen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Escitalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Budesonide,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ampicillin,Liothyronine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ampicillin,Cefuroxime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ampicillin,Risedronate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ampicillin,Dexamethasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Antacid (Omeprazole),Sunitinib,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Antacid (Omeprazole),Hydrocortisone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Antacid (Omeprazole),Lisinopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Antacid (Omeprazole),Insulin Aspart,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Antacid (Omeprazole),Captopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aripiprazole,Insulin Glargine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Aripiprazole,Amlodipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aripiprazole,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Aripiprazole,Liothyronine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aripiprazole,Omeprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Aripiprazole,Minocycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aripiprazole,Hydrocortisone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Aripiprazole,Diclofenac Sodium,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Aripiprazole,Montelukast,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Aripiprazole,Sunitinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Aspirin,Citalopram,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Aspirin,Ampicillin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Aspirin,Iron (Ferrous Sulfate),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Aspirin,Captopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aspirin,Turmeric (Curcumin),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aspirin,Canagliflozin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Aspirin,Risperidone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Aspirin,Sertraline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Atorvastatin,Erythromycin,Major,CYP3A4 inhibition -> increased statin exposure,DrugBank
Atorvastatin,Alendronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Atorvastatin,Salmeterol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Atorvastatin,Imatinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Atorvastatin,Phenytoin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Atorvastatin,Esomeprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Atorvastatin,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Atorvastatin,Vitamin D3,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Atorvastatin,Iron (Ferrous Sulfate),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Atorvastatin,Morphine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Azithromycin,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Azithromycin,Aspirin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Azithromycin,Captopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Azithromycin,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Azithromycin,Isosorbide Mononitrate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Baclofen,Levocetirizine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Baclofen,Isosorbide Mononitrate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Baclofen,Carbamazepine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Baclofen,Fluoxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Baclofen,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Baclofen,Tiotropium,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Baclofen,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Baclofen,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Baclofen,Loratadine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Beclometasone,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Beclometasone,Antacid (Omeprazole),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Beclometasone,Carbamazepine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Beclometasone,Liothyronine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Bisoprolol,Heparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Bisoprolol,Ranitidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Bisoprolol,Simvastatin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Bisoprolol,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Bisoprolol,Linagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Bisoprolol,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Bisoprolol,Morphine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Bisoprolol,Ampicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Bisoprolol,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Budesonide,Famotidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Budesonide,Vitamins A,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Budesonide,Tramadol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Budesonide,Sitagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Budesonide,Azithromycin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Budesonide,Multivitamin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Budesonide,Vitamin D3,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Calcium Carbonate,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Calcium Carbonate,Itraconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Calcium Carbonate,Paracetamol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Calcium Carbonate,Lorazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Calcium Carbonate,Quetiapine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Calcium Carbonate,Levocetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Calcium Carbonate,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Calcium Carbonate,Escitalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Calcium Carbonate,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Calcium Carbonate,Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Canagliflozin,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Canagliflozin,Multivitamin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Canagliflozin,Diclofenac Sodium,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Canagliflozin,Glibenclamide,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Canagliflozin,Tadalafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Canagliflozin,Codeine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Canagliflozin,Zolpidem,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Canagliflozin,Ibuprofen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Canagliflozin,Olanzapine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Canagliflozin,Metformin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Canagliflozin,Linagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Canagliflozin,Simvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Captopril,Hydrocortisone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Captopril,Paroxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Captopril,Erythromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Captopril,Gabapentin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Captopril,Heparin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Captopril,Green tea extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Captopril,Famotidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Captopril,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Captopril,Risperidone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Carbamazepine,Fluconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Carbamazepine,Metoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Metronidazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Nifedipine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Carbamazepine,Insulin Lispro,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Ciprofloxacin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Rosuvastatin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Carbamazepine,Erythromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Ketoconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Carbamazepine,Naproxen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Carbamazepine,Zolpidem,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Carbamazepine,Oxycodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cefixime,Lamotrigine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cefixime,Naproxen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cefixime,Paracetamol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Cefixime,Empagliflozin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cefixime,Citalopram,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cefixime,Tramadol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cefixime,Metronidazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cefuroxime,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Cefuroxime,Promethazine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cetirizine,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Cetirizine,Turmeric (Curcumin),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cetirizine,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cetirizine,Empagliflozin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cetirizine,Imatinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cetirizine,Cefixime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cetirizine,Sildenafil,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cetirizine,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cetirizine,Vitamins A,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cetirizine,Amlodipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Cetirizine,Oxycodone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ciprofloxacin,Clonazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ciprofloxacin,Tiotropium,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ciprofloxacin,Lamotrigine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ciprofloxacin,Sunitinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Citalopram,Lamotrigine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Citalopram,Diazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Citalopram,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Citalopram,Pregabalin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Citalopram,Enalapril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Citalopram,Fluconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Propranolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Nitroglycerin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clarithromycin,Esomeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clarithromycin,Nivolumab,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Aripiprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Clarithromycin,Promethazine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clarithromycin,Risedronate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clarithromycin,Vitamin B12,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clonazepam,Citalopram,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clonazepam,Vitamins A,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clonazepam,Beclometasone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clonazepam,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clonazepam,Promethazine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clonazepam,Imatinib,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clonazepam,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Clonazepam,Doxycycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clonazepam,Cefuroxime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Clonazepam,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clopidogrel,Omeprazole,Major,Reduced efficacy of clopidogrel via CYP2C19 inhibition,DrugBank
Clopidogrel,Carbamazepine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clopidogrel,Lamotrigine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Clopidogrel,Turmeric (Curcumin),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Codeine,Insulin Glargine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Codeine,Vitamin D3,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cyclophosphamide,Ibuprofen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cyclophosphamide,Prednisone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Cyclophosphamide,Vitamin B12,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Cyclophosphamide,Oxycodone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cyclophosphamide,Bisoprolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Cyclophosphamide,Omeprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Cyclophosphamide,Voriconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Dexamethasone,Promethazine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Dexamethasone,Ginkgo biloba,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Dexamethasone,Famotidine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Dexamethasone,Azithromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Dexamethasone,Clopidogrel,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Dexamethasone,Insulin Glargine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Dexamethasone,Phenytoin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Dexamethasone,Isosorbide Mononitrate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diazepam,Bisoprolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diazepam,Fluoxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diazepam,Beclometasone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diazepam,Lithium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Diazepam,Amlodipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Diazepam,Phenytoin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Diazepam,Omeprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Diazepam,Losartan,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Diazepam,Cetirizine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diclofenac Sodium,Losartan,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diclofenac Sodium,Morphine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Diclofenac Sodium,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Doxorubicin,Glibenclamide,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Doxorubicin,Diazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Doxorubicin,Esomeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Doxorubicin,Pantoprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Doxorubicin,Levetiracetam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Doxycycline,Codeine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Doxycycline,Heparin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Doxycycline,Losartan,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Doxycycline,Cefuroxime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Doxycycline,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Doxycycline,Loratadine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Doxycycline,Pantoprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
,,,,
Empagliflozin,Esomeprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Empagliflozin,Amlodipine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Empagliflozin,Trastuzumab,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Empagliflozin,Sertraline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Empagliflozin,Carbamazepine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Empagliflozin,Propranolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Empagliflozin,Beclometasone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Empagliflozin,Metoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Empagliflozin,Imatinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Empagliflozin,Codeine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Enalapril,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enalapril,Losartan,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Enalapril,Sildenafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Enalapril,Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Enoxaparin,Insulin Aspart,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Captopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Clonazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Carbamazepine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Quetiapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Enoxaparin,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Enoxaparin,Salmeterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Enoxaparin,Vitamin B12,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Enoxaparin,Canagliflozin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Enoxaparin,Lisinopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Vitamin D3,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Erythromycin,Fluconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Prednisone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Erythromycin,Insulin Lispro,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Ampicillin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Linagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Erythromycin,Tadalafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Escitalopram,Phenytoin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Escitalopram,Codeine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Escitalopram,Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
